"SiteUrl","IsSiteAdmin"
"https://sustainabletimbertasmania.sharepoint.com/teams/teaminhousesystemsproject","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamirms","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamissc","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamlandmanagement","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamnaturalcapitalaccounts","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamneplanning","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamneplanning-PeerReviewTEST","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamneplanning-testCC105A","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamnesttdutyofficer","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamnwsttdutyofficer","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teampcpmf","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamperthredevelopmentproject","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamplantationperformancemeasures","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamplantations","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamplantations-ProjectTeamMembers","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamplantations-TestChannel","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamplantationworkinggroup","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamprotestorinformation","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamrapcommittee","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamrbnc","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamseniorfmtnorth","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamsocialclub","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/TeamStrategyDelivery","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamSTTHandbuiltWebsiteProject","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamstttrimbleimplementation","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamstttrimbleimplementation-CoreProjectTeam","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamstttrimbleimplementation-LRMDesktopTestingGroup","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamstttrimbleimplementation-LRMQAAlphaTesting","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/TeamTechWorkingGroup","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/TeamTechWorkingGroup-FENRISUpgrade","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/TeamTechWorkingGroup-OracleUpgrade","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamtomsproject","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamweeklyproductionmeeting","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamwellnesscommittee2","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamyfeprogram","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/Templates","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/Testplan","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/ThreatenedSpeciesObservations","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/WHSData","Yes"
